高中英语单词表
constant  a.经常的，不断的，稳定的，不变的；忠实的 
consider  v.考虑，细想；体谅，顾及；认为，把…看作 
connection  n.联系，关系；连接，连接处；有关系的人 
connected  adj.连接的；有关系的 
connect  vt.连接；与…联系，接通(电话) vi.连接 
conjecture  n./v. 猜测(想)；设想 
congratulation  n.祝贺，恭喜 (=congratulations) 
congratulate  vt.(on，upon)祝贺，向…道喜 
confuse  vt.使困惑，把…弄糊涂；混淆；混乱，搞乱 
conference  n.(正式)会议；讨论，商谈 
conductor  n.导体；列车员，(汽车)售票员；领队，指挥 
conduct  n.表现，品行 vt.引导；指挥；处理；传导 
condition  n.条件，状况，环境 vt.决定；支配；训练 
conclusion  n.结论，推论；结尾；缔结，议定 
conclude  . 
concert  n.音乐会，演奏会；一齐，一致 
conceited  a.骄傲自满的，自负的 
comradeship  n.同志关系；友谊 
comrade  n.伙伴，朋友 [同]companion 
computer  n.计算机，电脑；计算者 
compromise  n.妥协，折中vi.妥协vt.危及，放弃(原则等) 
compressed  a.压缩的；浓缩的 
composition  n.构成，成分；作文，作曲；(音乐等)作品 
complex  a.复合的；复杂的n.综合体，集合体；情结 
completely  ad.完全地；彻底地 
complete  a.完整的，完全的，完成的 vt.完成，使完整 
competitor  n.竞争对手，敌手，比赛者 
competition  n.竞争，比赛；角逐，较量；[总称]竞争者 
compete  vi.比赛；竞争；对抗 
compare  vt.(to，with)比较；(to)把…比作vi.相比 
company  n.公司，商号；同伴，朋友；客人们，来访人 
companion  n.同伴，同事；［天］伴星(=～star) 
communist  a.共产主义(党)的 n.共产主义者，共产党员 
communism  n.共产主义；共产党政体 
communicate  vt.交际，交流(思想等)；传达，传送；通讯 
common  a.平常的；共同的；粗俗的 n.公地；公园 
comment  vi.发表意见，提出看法 n.评论，意见，解说 
command  n./v.命令，指挥，控制 n.掌握，运用能力 
comfortable  a.舒适的，舒服的；感到舒适的，安逸的 
comfort  n.舒适，安逸；安慰，慰问 v.安慰，使舒适 
comer  n.有(成功)希望的人 
comedy  n.喜剧；一出喜剧，喜剧性事件 
come  v.来；出现于，产生；是，成为；开始，终于 
combine  v.联合；化合 n.集团 [反]separate，split 
comb  vt.用梳子梳(comb也可作名词,表示“梳子”) 
coloured  a.有色的 n.有色人种 
colorful  a.富有色彩的；多采多姿的；生动的；活泼的 
color  n.颜色，彩色；颜料；肤色 v.给…着色，染 
college  n.(综合大学中的)学院；(独立的)学院 
collection  n.收取，取走，收集；收藏品，收集的东西 
collect  v.收集；领取，接走；收(税等)；聚集，堆积 
collar  n.衣领；(动物的)项圈 vt.(非正式)抓住 
cold-blooded  a.(指人或行为)无情的，残酷的 
cold  a.冷的，寒冷的；冷淡的 n.冷，寒冷；伤风 
coin  n.硬币，货币 v.铸造(硬币)，创造(新词) 
coffee  n.咖啡，咖啡茶；咖啡色 
coda  n.终结句,乐章结尾部,完结部 
cocoa  cmeravt.可可，可可粉，可可饮料 
cock  vt.cause (a hat) to slope slightly; tilt 
Coca Cola  *可口可乐 
coat  n.上衣，外套；表皮；层,覆盖物 v.涂(盖)上 
coastline  *n.海岸线 
coastal  a.海岸的，沿岸的 
coast  v.投掷；铸造；投(票) n.铸件；模子；石膏 
coal  n.煤，煤块 
club  n.俱乐部，夜总会；社团；棍棒，球棒 
cloudy  a.多云的，阴天的；似云的；模糊不清的 
cloud  n.云；阴影；阴云 v.被云层遮蔽；使混淆 
clothing  n.衣服(集合名词，不可数) 
clothes  n.衣服(虽为复数，亦不可数) 
cloth  n.布，衣料(不可数)；抹布，桌布(可数) 
closed  a.关闭的，停止营业的 
close  v./n.关；结束 a./ad.近的(地)；紧密的(地) 
clock  n.钟 vt.记录(时间、速度等)，为…计时 
clinic  n.诊所；临床讲课；特殊病例的分析讨论课 
climb  v.攀登，爬 n.攀登，爬；攀登的地方 
clever  a.聪明的，机灵的；灵巧的，精巧的 
clerk  n.职员，店员，办事员；(法庭中的)书记 
clear  a./ad.清晰的(地)vt.清除；使清楚vi.变清澈 
cleaning  n．扫除 
clean  a.清洁的，干净的v.除去..污垢,把...弄干净 
Clause  n.(正式文件或法律文件的)条款；从句，分句 
classroom  n.教室，课堂 
classmate  (名)同班同学 
class  n.班级，年级；种类，等级，阶级；(一节)课 
clap  v.拍手，拍，轻拍 n.拍(手)，掌声，霹雳声 
civil  a.公民(个人)的；国内的，公民间的；文明的 
city  n．城市；都市；市 
citizenship  n.市民权，公民权，国民的义务(身份) 
citizen  n.公民；市民，城镇居民 
circle  n.圆(周)；集团；圈子 v.环绕，盘旋；划圈 
cinema  n.电影院；电影(业)，电影艺术 
cigarette  n.香烟，纸烟，卷烟 
cigar  n.雪茄烟，叶卷烟 
church  n.教堂；神职；[C-]基督教教会或教派 
Christmas  n．圣诞节 
chore  n.杂务，日常工作；令人讨厌的工作 
chopstick  n.筷子(常用复数) 
choose  vt.挑选，选择（过去式为chose） 
choke  v.窒息；(使)噎住；堵塞 n.发动机中节气门 
choice  n.选择(权)；供选择的东西a.上等的，精选的 
chocolate  n.巧克力；巧克力糖；深褐色 
chip  n.片屑，薄片；集成电路 v.削,铲,形成缺口 
Chinese  a.中国的；中国人的,汉语的 n.中国人；汉语 
China  n.瓷器(制品)，陶器 
chimney  n.烟囱，烟筒；玻璃罩 
chime  n.(乐器、钟等奏出的)谐和的乐声 
childhood  n.童年，幼年；早期 
child  n.( [pl.] children)小孩，儿童，儿女 
child  n.( [pl.] children)小孩，儿童，儿女 
chief  a.主要的；总的n.首领，长官；酋长，族长 
chicken  n.鸡肉；鸡，小鸡，小鸟 
chew  vt.咀嚼；嚼烟；深思 
chest  n.胸部，胸腔；一种大的坚固的木箱，柜子 
cheque  n.支票，空白支票 [美]check；总收入 
chemistry  n.化学 
chemist  n.化学家，化学师；(英)药剂师 
